camp,mean1,mean2,pct1,pct2,log2fc,p,p_adj,status
CAMPSQ6097,0.2543782646129144,0.03537844320698512,0.2,0.01612903225806451,0.2768142798986711,0.00270034066868426,0.01171766279217958,unchange
CAMPSQ61,0,0.0730508896128841,0,0.03225806451612903,-0.10171849776375298,0.3760661069965115,0.4942379573361683,unchange
CAMPSQ6100,0.4485353400021615,0.5003753765151403,0.44,0.20967741935483872,-0.05072860889141219,0.16532179112378229,0.25867943071243066,unchange
CAMPSQ6102,0.3988753269882314,0.34982062540775843,0.44,0.1774193548387097,0.05149968629180086,0.08003053951963054,0.15706134877438102,unchange
CAMPSQ6108,0.5272682198949304,0.18659766625047663,0.48,0.0967741935483871,0.36412260099825267,4.140942637739012e-4,0.00270379195758253,unchange
CAMPSQ6109,4.554758126342807,3.046385230467006,0.92,0.7741935483870968,0.4570904167727819,0.00241069870355794,0.01071287473795196,unchange
CAMPSQ6110,5.131545306764638,7.1934535287144366,1,1,-0.41822095799940745,0.03098124912395666,0.07430857879228366,unchange
CAMPSQ6111,0.748562004515205,0.21145736107317908,0.6,0.0967741935483871,0.5294253273025207,8.905913589971512e-6,1.5604721754897038e-4,unchange
CAMPSQ6112,0.8942140003117017,0.1009903262983314,0.72,0.04838709677419355,0.7827975367028829,5.726310425639191e-10,1.9863139288935947e-7,unchange
CAMPSQ6113,2.028826259729034,2.934408622416493,0.96,0.8870967741935484,-0.3773879774931759,0.00960440539451847,0.03037290594847724,unchange
CAMPSQ6114,2.7758174147362857,2.946981043313372,0.96,0.7741935483870968,-0.06396058750258814,0.9512609038827956,0.9647209422928046,unchange
CAMPSQ6115,2.708763074036129,3.219967034330494,0.92,0.8387096774193549,-0.186293621420634,0.2697928359526033,0.38761331595572046,unchange
CAMPSQ6116,2.476253184202878,3.493774966155166,0.92,0.8709677419354839,-0.37039471972126686,0.07224836839457978,0.14460095369272188,unchange
CAMPSQ6117,0.8934106062804381,0.6170947052949864,0.68,0.25806451612903225,0.2275831359253515,0.01168633180855482,0.03532632981344186,unchange
CAMPSQ6118,2.8849649774433113,2.123924542484654,0.84,0.6774193548387096,0.3145419869359554,0.05988075559642573,0.12441893022939789,unchange
CAMPSQ6119,6.5089427756254326,6.860127380588417,1,0.9838709677419356,-0.06594289561645315,0.6390830837242427,0.726082111498372,unchange
CAMPSQ6120,4.729554695243472,5.882199758048453,1,0.9516129032258064,-0.2644467512349604,0.06261989944070578,0.12919458270384257,unchange
CAMPSQ6121,2.6466955722214633,1.7807535991476606,0.88,0.5967741935483871,0.3911138538381605,0.01277877953872777,0.03772458853188251,unchange
CAMPSQ6122,0.3623494127993577,0.07721619406026654,0.2,0.03225806451612903,0.33878894699272294,0.01061286451229812,0.03292420237185835,unchange
CAMPSQ6124,4.394421226049287,1.900065677432984,1,0.5967741935483871,0.895382606379351,1.5651715879933124e-7,8.258290367037282e-6,unchange
CAMPSQ6125,2.89822786261929,3.1983341658073994,1,0.8387096774193549,-0.10699857957474054,0.6624879425692907,0.7472401586859155,unchange
CAMPSQ6126,4.860070775653514,4.072252257265761,1,0.9193548387096774,0.20829159254810384,0.06807730588455281,0.13824699877763194,unchange
CAMPSQ6127,4.754678485256286,3.122807988700776,1,0.8064516129032258,0.4811080547849335,0.00230639845475517,0.01032299308378323,unchange
CAMPSQ6128,6.327023744728193,7.562800721622876,1,0.967741935483871,-0.22485545960142925,0.04324779701054249,0.0961639717181534,unchange
CAMPSQ6129,3.786289876946221,3.2734339786952895,1,0.8709677419354839,0.16351194091685176,0.2998101447839508,0.419447013751179,unchange
CAMPSQ6130,4.55237176468741,5.689172380506763,1,0.9838709677419356,-0.2687235558493659,0.04941062986647787,0.10633152220199776,unchange
CAMPSQ6131,2.6736326161571857,2.6504937652643874,0.96,0.7903225806451613,0.0091157401605289,0.9400613955274968,0.956608130762304,unchange
CAMPSQ6132,7.098349085224381,6.616678591311213,1,0.967741935483871,0.08846581464377178,0.5483072156700357,0.6498195701406573,unchange
CAMPSQ6133,5.3304101279301195,4.442751310122917,1,0.9193548387096774,0.217962852454301,0.04520702287189566,0.09900764473892462,unchange
CAMPSQ6134,4.050960041524986,3.776003407660274,0.96,0.8709677419354839,0.08075376259898707,0.27425370224061096,0.3912860543862183,unchange
CAMPSQ6135,4.502204670342544,5.757071688920553,0.96,0.967741935483871,-0.29638835557700155,0.0291987803472897,0.07076560302509077,unchange
CAMPSQ6136,7.258833138931509,7.636821128709911,1,0.9838709677419356,-0.06456244845480552,0.609218375052762,0.7035293344866477,unchange
CAMPSQ6137,2.7687882003684634,3.0023769738924813,1,0.7903225806451613,-0.08675633726910059,0.9587888781124648,0.96996948190257,unchange
CAMPSQ6138,3.424011030498291,4.508424673696342,0.96,0.9032258064516128,-0.31628480609392534,0.1498297204461205,0.23991775778302615,unchange
CAMPSQ6139,2.1284142120392886,0.7861281392886613,0.92,0.3548387096774194,0.8085959576280204,1.1563128218917284e-5,1.9156824362683857e-4,unchange
CAMPSQ6140,2.4074314554651384,2.580803077098936,1,0.6935483870967742,-0.07159854538520165,0.9211373306122004,0.9467941944452636,unchange
CAMPSQ6141,3.3305110849100013,2.6548754979150417,0.96,0.7741935483870968,0.24471503909869743,0.09887488648444805,0.1859558183628216,unchange
CAMPSQ6142,5.17284083057608,3.871893652989186,1,0.8387096774193549,0.3414519498538438,0.01967019017916215,0.05322747708159432,unchange
CAMPSQ6143,4.250020678421649,7.714723520361601,1,1,-0.7311317895650308,1.0750587986305941e-7,6.178783761135594e-6,unchange
CAMPSQ6144,3.8296232833098593,3.587494078135483,1,0.9032258064516128,0.07420436579861858,0.6763434877732581,0.7579135290713583,unchange
CAMPSQ6145,4.465807654516396,2.7813147585462974,1,0.7096774193548387,0.531546746350117,5.171011254905205e-4,0.00325871492744087,unchange
CAMPSQ6146,4.509386799166285,4.674574281831585,0.96,0.8870967741935484,-0.04262040834987689,0.7426008863608846,0.8174206503972451,unchange
CAMPSQ6147,3.363224276436007,3.7764749670638262,0.96,0.8225806451612904,-0.1305516712737584,0.8657550326944244,0.9154011109647656,unchange
CAMPSQ6148,1.3020237772418295,0.6369801412215286,0.76,0.2903225806451613,0.49186591483721753,0.00193494856144877,0.00895660093080958,unchange
CAMPSQ6149,2.1153180053139207,1.7709395052432049,0.92,0.5967741935483871,0.16900422368577292,0.25117599086353365,0.3649284684012072,unchange
CAMPSQ6150,1.8053141888594224,1.2334290232609022,0.88,0.5161290322580645,0.3289019508947737,0.03341973080973967,0.07872644566810492,unchange
CAMPSQ6151,4.043781102906428,3.782560147521443,1,0.8548387096774194,0.07672255228467294,0.4115537454556056,0.532802259687103,unchange
CAMPSQ6152,1.3729353643582896,1.078432977516212,0.88,0.4516129032258064,0.19117657730747267,0.08487786851983213,0.16477723000434052,unchange
CAMPSQ6153,4.846286886465783,3.2650056136146275,1,0.7741935483870968,0.45497298576431594,0.00547884619351879,0.01958572246826426,unchange
CAMPSQ6154,3.1122407922480693,1.7321943423736008,1,0.6612903225806451,0.5898646370991285,7.848377586252181e-4,0.00456588004231652,unchange
CAMPSQ6155,4.4334849965955865,3.0289242334425546,1,0.7580645161290323,0.4314831537882296,0.00200774340141449,0.00923961515576324,unchange
CAMPSQ6156,7.886364751247702,6.598007718500267,1,1,0.22597218209309353,0.08956069090223225,0.17181535931814343,unchange
